,Compound Score,Negative Score,Neutral Score,Outlet,Positive Score,Tweets Ago
0,0.5106,0.0,0.852,@BBCWorld,0.148,1
1,-0.7269,0.504,0.496,@BBCWorld,0.0,2
2,-0.3612,0.192,0.688,@BBCWorld,0.12,3
3,-0.5994,0.151,0.849,@BBCWorld,0.0,4
4,-0.6808,0.195,0.805,@BBCWorld,0.0,5
5,-0.2023,0.205,0.795,@BBCWorld,0.0,6
6,-0.743,0.422,0.578,@BBCWorld,0.0,7
7,0.0,0.0,1.0,@BBCWorld,0.0,8
8,0.0,0.0,1.0,@BBCWorld,0.0,9
9,0.0,0.0,1.0,@BBCWorld,0.0,10
10,0.0,0.0,1.0,@BBCWorld,0.0,11
11,-0.5994,0.394,0.606,@BBCWorld,0.0,12
12,0.2023,0.0,0.859,@BBCWorld,0.141,13
13,-0.6705,0.208,0.792,@BBCWorld,0.0,14
14,0.4939,0.0,0.758,@BBCWorld,0.242,15
15,0.0,0.0,1.0,@BBCWorld,0.0,16
16,0.0,0.0,1.0,@BBCWorld,0.0,17
17,0.4767,0.0,0.744,@BBCWorld,0.256,18
18,-0.1531,0.138,0.862,@BBCWorld,0.0,19
19,0.0,0.0,1.0,@BBCWorld,0.0,20
20,0.5106,0.0,0.852,@BBCWorld,0.148,21
21,-0.7269,0.504,0.496,@BBCWorld,0.0,22
22,-0.3612,0.192,0.688,@BBCWorld,0.12,23
23,-0.5994,0.151,0.849,@BBCWorld,0.0,24
24,-0.6808,0.195,0.805,@BBCWorld,0.0,25
25,-0.2023,0.205,0.795,@BBCWorld,0.0,26
26,-0.743,0.422,0.578,@BBCWorld,0.0,27
27,0.0,0.0,1.0,@BBCWorld,0.0,28
28,0.0,0.0,1.0,@BBCWorld,0.0,29
29,0.0,0.0,1.0,@BBCWorld,0.0,30
30,0.0,0.0,1.0,@BBCWorld,0.0,31
31,-0.5994,0.394,0.606,@BBCWorld,0.0,32
32,0.2023,0.0,0.859,@BBCWorld,0.141,33
33,-0.6705,0.208,0.792,@BBCWorld,0.0,34
34,0.4939,0.0,0.758,@BBCWorld,0.242,35
35,0.0,0.0,1.0,@BBCWorld,0.0,36
36,0.0,0.0,1.0,@BBCWorld,0.0,37
37,0.4767,0.0,0.744,@BBCWorld,0.256,38
38,-0.1531,0.138,0.862,@BBCWorld,0.0,39
39,0.0,0.0,1.0,@BBCWorld,0.0,40
40,-0.2023,0.153,0.847,@BBCWorld,0.0,41
41,0.2023,0.0,0.795,@BBCWorld,0.205,42
42,0.0,0.0,1.0,@BBCWorld,0.0,43
43,-0.7003,0.444,0.556,@BBCWorld,0.0,44
44,0.0,0.0,1.0,@BBCWorld,0.0,45
45,-0.7003,0.492,0.508,@BBCWorld,0.0,46
46,-0.2023,0.141,0.859,@BBCWorld,0.0,47
47,-0.4588,0.345,0.412,@BBCWorld,0.242,48
48,0.0,0.0,1.0,@BBCWorld,0.0,49
49,0.0,0.0,1.0,@BBCWorld,0.0,50
50,0.0,0.0,1.0,@BBCWorld,0.0,51
51,0.0,0.0,1.0,@BBCWorld,0.0,52
52,0.0,0.0,1.0,@BBCWorld,0.0,53
53,-0.7964,0.47,0.53,@BBCWorld,0.0,54
54,0.0,0.0,1.0,@BBCWorld,0.0,55
55,-0.7184,0.24,0.76,@BBCWorld,0.0,56
56,0.0,0.0,1.0,@BBCWorld,0.0,57
57,-0.6808,0.365,0.635,@BBCWorld,0.0,58
58,-0.5994,0.328,0.672,@BBCWorld,0.0,59
59,-0.0258,0.189,0.629,@BBCWorld,0.182,60
60,0.0,0.0,1.0,@BBCWorld,0.0,61
61,-0.765,0.423,0.577,@BBCWorld,0.0,62
62,0.0,0.0,1.0,@BBCWorld,0.0,63
63,-0.296,0.196,0.804,@BBCWorld,0.0,64
64,-0.5423,0.28,0.72,@BBCWorld,0.0,65
65,0.0,0.0,1.0,@BBCWorld,0.0,66
66,-0.2263,0.174,0.826,@BBCWorld,0.0,67
67,0.0,0.0,1.0,@BBCWorld,0.0,68
68,-0.0191,0.054,0.946,@BBCWorld,0.0,69
69,0.0,0.0,1.0,@BBCWorld,0.0,70
70,-0.4215,0.237,0.763,@BBCWorld,0.0,71
71,0.0,0.0,1.0,@BBCWorld,0.0,72
72,-0.4588,0.13,0.87,@BBCWorld,0.0,73
73,0.0772,0.198,0.579,@BBCWorld,0.223,74
74,-0.6908,0.37,0.63,@BBCWorld,0.0,75
75,-0.4404,0.367,0.633,@BBCWorld,0.0,76
76,-0.2778,0.275,0.535,@BBCWorld,0.19,77
77,0.0,0.0,1.0,@BBCWorld,0.0,78
78,0.0,0.0,1.0,@BBCWorld,0.0,79
79,0.0,0.0,1.0,@BBCWorld,0.0,80
80,-0.7184,0.4,0.6,@BBCWorld,0.0,81
81,0.0516,0.107,0.778,@BBCWorld,0.115,82
82,0.0,0.0,1.0,@BBCWorld,0.0,83
83,-0.5994,0.246,0.754,@BBCWorld,0.0,84
84,-0.4404,0.139,0.861,@BBCWorld,0.0,85
85,-0.3818,0.115,0.885,@BBCWorld,0.0,86
86,-0.4404,0.326,0.674,@BBCWorld,0.0,87
87,-0.7003,0.244,0.756,@BBCWorld,0.0,88
88,-0.4767,0.341,0.659,@BBCWorld,0.0,89
89,-0.296,0.132,0.868,@BBCWorld,0.0,90
90,-0.5423,0.391,0.609,@BBCWorld,0.0,91
91,-0.2263,0.101,0.899,@BBCWorld,0.0,92
92,-0.4019,0.144,0.856,@BBCWorld,0.0,93
93,-0.5994,0.161,0.787,@BBCWorld,0.052,94
94,0.0,0.0,1.0,@BBCWorld,0.0,95
95,-0.1779,0.248,0.56,@BBCWorld,0.192,96
96,-0.4767,0.279,0.721,@BBCWorld,0.0,97
97,0.0,0.0,1.0,@BBCWorld,0.0,98
98,0.0,0.0,1.0,@BBCWorld,0.0,99
99,-0.2023,0.076,0.924,@BBCWorld,0.0,100
0,-0.5994,0.214,0.786,@CBSNews,0.0,1
1,-0.296,0.115,0.885,@CBSNews,0.0,2
2,-0.5423,0.209,0.791,@CBSNews,0.0,3
3,0.0,0.0,1.0,@CBSNews,0.0,4
4,0.0,0.0,1.0,@CBSNews,0.0,5
5,0.0,0.0,1.0,@CBSNews,0.0,6
6,0.0,0.0,1.0,@CBSNews,0.0,7
7,0.0,0.0,1.0,@CBSNews,0.0,8
8,0.6908,0.0,0.787,@CBSNews,0.213,9
9,0.2732,0.0,0.909,@CBSNews,0.091,10
10,0.7334,0.0,0.736,@CBSNews,0.264,11
11,0.2023,0.081,0.806,@CBSNews,0.113,12
12,-0.1027,0.117,0.78,@CBSNews,0.103,13
13,0.0,0.0,1.0,@CBSNews,0.0,14
14,0.7227,0.0,0.781,@CBSNews,0.219,15
15,0.0,0.0,1.0,@CBSNews,0.0,16
16,0.0,0.0,1.0,@CBSNews,0.0,17
17,-0.6705,0.355,0.645,@CBSNews,0.0,18
18,0.4019,0.0,0.876,@CBSNews,0.124,19
19,-0.8225,0.297,0.703,@CBSNews,0.0,20
20,-0.5994,0.214,0.786,@CBSNews,0.0,21
21,-0.296,0.115,0.885,@CBSNews,0.0,22
22,-0.5423,0.209,0.791,@CBSNews,0.0,23
23,0.0,0.0,1.0,@CBSNews,0.0,24
24,0.0,0.0,1.0,@CBSNews,0.0,25
25,0.0,0.0,1.0,@CBSNews,0.0,26
26,0.0,0.0,1.0,@CBSNews,0.0,27
27,0.0,0.0,1.0,@CBSNews,0.0,28
28,0.6908,0.0,0.787,@CBSNews,0.213,29
29,0.2732,0.0,0.909,@CBSNews,0.091,30
30,0.7334,0.0,0.736,@CBSNews,0.264,31
31,0.2023,0.081,0.806,@CBSNews,0.113,32
32,-0.1027,0.117,0.78,@CBSNews,0.103,33
33,0.0,0.0,1.0,@CBSNews,0.0,34
34,0.7227,0.0,0.781,@CBSNews,0.219,35
35,0.0,0.0,1.0,@CBSNews,0.0,36
36,0.0,0.0,1.0,@CBSNews,0.0,37
37,-0.6705,0.355,0.645,@CBSNews,0.0,38
38,0.4019,0.0,0.876,@CBSNews,0.124,39
39,-0.8225,0.297,0.703,@CBSNews,0.0,40
40,0.0,0.0,1.0,@CBSNews,0.0,41
41,-0.6124,0.227,0.773,@CBSNews,0.0,42
42,0.0,0.0,1.0,@CBSNews,0.0,43
43,0.0,0.0,1.0,@CBSNews,0.0,44
44,0.0,0.0,1.0,@CBSNews,0.0,45
45,0.3182,0.096,0.757,@CBSNews,0.147,46
46,-0.6249,0.272,0.628,@CBSNews,0.1,47
47,0.3182,0.0,0.867,@CBSNews,0.133,48
48,0.25,0.0,0.905,@CBSNews,0.095,49
49,-0.7783,0.264,0.736,@CBSNews,0.0,50
50,-0.2263,0.095,0.905,@CBSNews,0.0,51
51,0.0,0.0,1.0,@CBSNews,0.0,52
52,-0.4767,0.22,0.78,@CBSNews,0.0,53
53,-0.7264,0.264,0.736,@CBSNews,0.0,54
54,-0.4019,0.182,0.711,@CBSNews,0.107,55
55,-0.2732,0.1,0.9,@CBSNews,0.0,56
56,0.0,0.0,1.0,@CBSNews,0.0,57
57,-0.296,0.12,0.817,@CBSNews,0.062,58
58,0.3818,0.0,0.86,@CBSNews,0.14,59
59,0.0,0.0,1.0,@CBSNews,0.0,60
60,0.0,0.0,1.0,@CBSNews,0.0,61
61,0.1531,0.0,0.926,@CBSNews,0.074,62
62,0.0,0.0,1.0,@CBSNews,0.0,63
63,-0.34,0.112,0.888,@CBSNews,0.0,64
64,0.4215,0.0,0.887,@CBSNews,0.113,65
65,-0.8316,0.328,0.672,@CBSNews,0.0,66
66,0.0,0.0,1.0,@CBSNews,0.0,67
67,0.0,0.0,1.0,@CBSNews,0.0,68
68,-0.802,0.444,0.556,@CBSNews,0.0,69
69,-0.5574,0.265,0.735,@CBSNews,0.0,70
70,0.0,0.0,1.0,@CBSNews,0.0,71
71,0.0,0.0,1.0,@CBSNews,0.0,72
72,0.0,0.0,1.0,@CBSNews,0.0,73
73,0.0,0.0,1.0,@CBSNews,0.0,74
74,0.6124,0.0,0.643,@CBSNews,0.357,75
75,0.2023,0.0,0.847,@CBSNews,0.153,76
76,-0.872,0.577,0.423,@CBSNews,0.0,77
77,0.0,0.0,1.0,@CBSNews,0.0,78
78,0.0,0.0,1.0,@CBSNews,0.0,79
79,0.5106,0.0,0.769,@CBSNews,0.231,80
80,0.0,0.0,1.0,@CBSNews,0.0,81
81,-0.3182,0.187,0.813,@CBSNews,0.0,82
82,0.0,0.0,1.0,@CBSNews,0.0,83
83,-0.7579,0.448,0.552,@CBSNews,0.0,84
84,-0.7717,0.456,0.544,@CBSNews,0.0,85
85,-0.4215,0.203,0.797,@CBSNews,0.0,86
86,0.0,0.0,1.0,@CBSNews,0.0,87
87,-0.4939,0.176,0.824,@CBSNews,0.0,88
88,-0.8555,0.412,0.588,@CBSNews,0.0,89
89,-0.5423,0.241,0.759,@CBSNews,0.0,90
90,-0.5574,0.153,0.847,@CBSNews,0.0,91
91,-0.6486,0.301,0.699,@CBSNews,0.0,92
92,-0.4588,0.188,0.812,@CBSNews,0.0,93
93,0.0,0.0,1.0,@CBSNews,0.0,94
94,-0.4767,0.22,0.78,@CBSNews,0.0,95
95,0.0,0.0,1.0,@CBSNews,0.0,96
96,0.0,0.0,1.0,@CBSNews,0.0,97
97,0.4767,0.0,0.814,@CBSNews,0.186,98
98,0.3818,0.0,0.88,@CBSNews,0.12,99
99,0.0,0.0,1.0,@CBSNews,0.0,100
0,0.6597,0.12,0.556,@CNN,0.324,1
1,-0.8625,0.336,0.664,@CNN,0.0,2
2,0.3818,0.0,0.729,@CNN,0.271,3
3,0.0,0.0,1.0,@CNN,0.0,4
4,0.0,0.0,1.0,@CNN,0.0,5
5,0.2732,0.0,0.9,@CNN,0.1,6
6,0.0,0.0,1.0,@CNN,0.0,7
7,0.4019,0.0,0.863,@CNN,0.137,8
8,0.5943,0.0,0.787,@CNN,0.213,9
9,0.0,0.0,1.0,@CNN,0.0,10
10,-0.5423,0.241,0.759,@CNN,0.0,11
11,-0.6908,0.449,0.551,@CNN,0.0,12
12,0.0,0.0,1.0,@CNN,0.0,13
13,0.6369,0.0,0.833,@CNN,0.167,14
14,0.0,0.0,1.0,@CNN,0.0,15
15,-0.5574,0.371,0.381,@CNN,0.248,16
16,0.0,0.0,1.0,@CNN,0.0,17
17,-0.6369,0.286,0.714,@CNN,0.0,18
18,0.0,0.0,1.0,@CNN,0.0,19
19,-0.8519,0.368,0.632,@CNN,0.0,20
20,0.6597,0.12,0.556,@CNN,0.324,21
21,-0.8625,0.336,0.664,@CNN,0.0,22
22,0.3818,0.0,0.729,@CNN,0.271,23
23,0.0,0.0,1.0,@CNN,0.0,24
24,0.0,0.0,1.0,@CNN,0.0,25
25,0.2732,0.0,0.9,@CNN,0.1,26
26,0.0,0.0,1.0,@CNN,0.0,27
27,0.4019,0.0,0.863,@CNN,0.137,28
28,0.5943,0.0,0.787,@CNN,0.213,29
29,0.0,0.0,1.0,@CNN,0.0,30
30,-0.5423,0.241,0.759,@CNN,0.0,31
31,-0.6908,0.449,0.551,@CNN,0.0,32
32,0.0,0.0,1.0,@CNN,0.0,33
33,0.6369,0.0,0.833,@CNN,0.167,34
34,0.0,0.0,1.0,@CNN,0.0,35
35,-0.5574,0.371,0.381,@CNN,0.248,36
36,0.0,0.0,1.0,@CNN,0.0,37
37,-0.6369,0.286,0.714,@CNN,0.0,38
38,0.0,0.0,1.0,@CNN,0.0,39
39,-0.8519,0.368,0.632,@CNN,0.0,40
40,-0.7783,0.286,0.714,@CNN,0.0,41
41,-0.34,0.138,0.862,@CNN,0.0,42
42,0.5106,0.0,0.858,@CNN,0.142,43
43,0.0,0.0,1.0,@CNN,0.0,44
44,0.5106,0.059,0.751,@CNN,0.19,45
45,0.0,0.0,1.0,@CNN,0.0,46
46,0.7956,0.0,0.706,@CNN,0.294,47
47,0.0,0.0,1.0,@CNN,0.0,48
48,-0.2732,0.116,0.884,@CNN,0.0,49
49,0.0,0.0,1.0,@CNN,0.0,50
50,0.5719,0.0,0.802,@CNN,0.198,51
51,-0.228,0.096,0.904,@CNN,0.0,52
52,0.0,0.0,1.0,@CNN,0.0,53
53,0.1779,0.1,0.769,@CNN,0.131,54
54,-0.0258,0.048,0.952,@CNN,0.0,55
55,0.4215,0.0,0.833,@CNN,0.167,56
56,0.5106,0.0,0.752,@CNN,0.248,57
57,0.0,0.0,1.0,@CNN,0.0,58
58,-0.7783,0.286,0.714,@CNN,0.0,59
59,-0.4019,0.252,0.748,@CNN,0.0,60
60,-0.4588,0.136,0.864,@CNN,0.0,61
61,-0.3612,0.135,0.865,@CNN,0.0,62
62,0.0,0.0,1.0,@CNN,0.0,63
63,-0.25,0.133,0.867,@CNN,0.0,64
64,0.5106,0.0,0.858,@CNN,0.142,65
65,-0.8519,0.368,0.632,@CNN,0.0,66
66,0.0,0.0,1.0,@CNN,0.0,67
67,0.34,0.0,0.897,@CNN,0.103,68
68,0.0,0.0,1.0,@CNN,0.0,69
69,0.5994,0.0,0.766,@CNN,0.234,70
70,-0.5423,0.171,0.829,@CNN,0.0,71
71,0.3919,0.0,0.883,@CNN,0.117,72
72,0.0,0.0,1.0,@CNN,0.0,73
73,0.0772,0.09,0.804,@CNN,0.106,74
74,0.3612,0.0,0.884,@CNN,0.116,75
75,0.5574,0.0,0.865,@CNN,0.135,76
76,0.0,0.0,1.0,@CNN,0.0,77
77,0.0,0.0,1.0,@CNN,0.0,78
78,0.0,0.0,1.0,@CNN,0.0,79
79,-0.2732,0.139,0.861,@CNN,0.0,80
80,-0.34,0.138,0.862,@CNN,0.0,81
81,0.0,0.0,1.0,@CNN,0.0,82
82,0.4939,0.0,0.882,@CNN,0.118,83
83,-0.2023,0.091,0.909,@CNN,0.0,84
84,0.1531,0.091,0.794,@CNN,0.115,85
85,0.5106,0.0,0.752,@CNN,0.248,86
86,0.0,0.0,1.0,@CNN,0.0,87
87,-0.4767,0.154,0.846,@CNN,0.0,88
88,-0.5423,0.171,0.829,@CNN,0.0,89
89,-0.6486,0.249,0.751,@CNN,0.0,90
90,-0.2732,0.123,0.877,@CNN,0.0,91
91,0.0,0.0,1.0,@CNN,0.0,92
92,0.1779,0.0,0.928,@CNN,0.072,93
93,-0.0516,0.127,0.759,@CNN,0.114,94
94,-0.1114,0.101,0.819,@CNN,0.08,95
95,-0.2732,0.116,0.884,@CNN,0.0,96
96,-0.6597,0.372,0.5,@CNN,0.128,97
97,0.0,0.0,1.0,@CNN,0.0,98
98,0.4215,0.0,0.833,@CNN,0.167,99
99,-0.0258,0.061,0.939,@CNN,0.0,100
0,0.0,0.0,1.0,@FoxNews,0.0,1
1,0.0,0.0,1.0,@FoxNews,0.0,2
2,0.0,0.0,1.0,@FoxNews,0.0,3
3,-0.4215,0.176,0.735,@FoxNews,0.088,4
4,-0.4404,0.209,0.791,@FoxNews,0.0,5
5,-0.0516,0.241,0.536,@FoxNews,0.223,6
6,0.1531,0.0,0.873,@FoxNews,0.127,7
7,0.0,0.0,1.0,@FoxNews,0.0,8
8,0.4215,0.0,0.823,@FoxNews,0.177,9
9,0.5956,0.0,0.74,@FoxNews,0.26,10
10,0.4939,0.0,0.862,@FoxNews,0.138,11
11,-0.7579,0.277,0.723,@FoxNews,0.0,12
12,-0.8126,0.433,0.567,@FoxNews,0.0,13
13,0.0,0.0,1.0,@FoxNews,0.0,14
14,0.0,0.0,1.0,@FoxNews,0.0,15
15,0.0,0.0,1.0,@FoxNews,0.0,16
16,-0.0772,0.191,0.636,@FoxNews,0.173,17
17,0.0,0.0,1.0,@FoxNews,0.0,18
18,0.3818,0.0,0.874,@FoxNews,0.126,19
19,0.7269,0.0,0.697,@FoxNews,0.303,20
20,0.0,0.0,1.0,@FoxNews,0.0,21
21,0.0,0.0,1.0,@FoxNews,0.0,22
22,0.0,0.0,1.0,@FoxNews,0.0,23
23,-0.4215,0.176,0.735,@FoxNews,0.088,24
24,-0.4404,0.209,0.791,@FoxNews,0.0,25
25,-0.0516,0.241,0.536,@FoxNews,0.223,26
26,0.1531,0.0,0.873,@FoxNews,0.127,27
27,0.0,0.0,1.0,@FoxNews,0.0,28
28,0.4215,0.0,0.823,@FoxNews,0.177,29
29,0.5956,0.0,0.74,@FoxNews,0.26,30
30,0.4939,0.0,0.862,@FoxNews,0.138,31
31,-0.7579,0.277,0.723,@FoxNews,0.0,32
32,-0.8126,0.433,0.567,@FoxNews,0.0,33
33,0.0,0.0,1.0,@FoxNews,0.0,34
34,0.0,0.0,1.0,@FoxNews,0.0,35
35,0.0,0.0,1.0,@FoxNews,0.0,36
36,-0.0772,0.191,0.636,@FoxNews,0.173,37
37,0.0,0.0,1.0,@FoxNews,0.0,38
38,0.3818,0.0,0.874,@FoxNews,0.126,39
39,0.7269,0.0,0.697,@FoxNews,0.303,40
40,0.0,0.0,1.0,@FoxNews,0.0,41
41,0.6369,0.0,0.781,@FoxNews,0.219,42
42,0.0,0.0,1.0,@FoxNews,0.0,43
43,0.0,0.0,1.0,@FoxNews,0.0,44
44,-0.5423,0.408,0.419,@FoxNews,0.173,45
45,0.0,0.0,1.0,@FoxNews,0.0,46
46,0.0,0.0,1.0,@FoxNews,0.0,47
47,0.0,0.0,1.0,@FoxNews,0.0,48
48,0.34,0.0,0.862,@FoxNews,0.138,49
49,-0.3182,0.187,0.813,@FoxNews,0.0,50
50,-0.4404,0.225,0.775,@FoxNews,0.0,51
51,-0.1779,0.206,0.629,@FoxNews,0.166,52
52,-0.9042,0.463,0.537,@FoxNews,0.0,53
53,-0.4588,0.4,0.6,@FoxNews,0.0,54
54,0.0,0.0,1.0,@FoxNews,0.0,55
55,0.0,0.0,1.0,@FoxNews,0.0,56
56,0.5413,0.0,0.837,@FoxNews,0.163,57
57,-0.1531,0.086,0.914,@FoxNews,0.0,58
58,-0.7003,0.383,0.5,@FoxNews,0.117,59
59,0.0,0.0,1.0,@FoxNews,0.0,60
60,0.5267,0.0,0.764,@FoxNews,0.236,61
61,0.128,0.0,0.889,@FoxNews,0.111,62
62,-0.5994,0.178,0.822,@FoxNews,0.0,63
63,0.0,0.0,1.0,@FoxNews,0.0,64
64,0.0,0.0,1.0,@FoxNews,0.0,65
65,-0.5267,0.195,0.805,@FoxNews,0.0,66
66,0.5423,0.0,0.769,@FoxNews,0.231,67
67,0.0,0.0,1.0,@FoxNews,0.0,68
68,0.0,0.0,1.0,@FoxNews,0.0,69
69,-0.5256,0.298,0.702,@FoxNews,0.0,70
70,-0.8442,0.406,0.531,@FoxNews,0.063,71
71,0.4576,0.0,0.85,@FoxNews,0.15,72
72,-0.5423,0.143,0.857,@FoxNews,0.0,73
73,-0.6249,0.291,0.709,@FoxNews,0.0,74
74,0.0,0.0,1.0,@FoxNews,0.0,75
75,-0.6369,0.366,0.634,@FoxNews,0.0,76
76,0.2023,0.0,0.913,@FoxNews,0.087,77
77,0.7906,0.0,0.619,@FoxNews,0.381,78
78,0.4588,0.0,0.786,@FoxNews,0.214,79
79,0.0,0.0,1.0,@FoxNews,0.0,80
80,0.0,0.0,1.0,@FoxNews,0.0,81
81,0.0,0.0,1.0,@FoxNews,0.0,82
82,-0.4767,0.279,0.721,@FoxNews,0.0,83
83,-0.4019,0.226,0.658,@FoxNews,0.115,84
84,-0.8271,0.461,0.539,@FoxNews,0.0,85
85,0.0,0.0,1.0,@FoxNews,0.0,86
86,0.0,0.0,1.0,@FoxNews,0.0,87
87,0.0,0.0,1.0,@FoxNews,0.0,88
88,-0.34,0.156,0.844,@FoxNews,0.0,89
89,0.0,0.0,1.0,@FoxNews,0.0,90
90,0.0,0.0,1.0,@FoxNews,0.0,91
91,0.2235,0.0,0.91,@FoxNews,0.09,92
92,0.6096,0.0,0.738,@FoxNews,0.262,93
93,-0.6124,0.217,0.783,@FoxNews,0.0,94
94,0.3818,0.0,0.874,@FoxNews,0.126,95
95,0.2023,0.0,0.904,@FoxNews,0.096,96
96,0.8923,0.0,0.527,@FoxNews,0.473,97
97,-0.6249,0.24,0.76,@FoxNews,0.0,98
98,-0.4404,0.153,0.847,@FoxNews,0.0,99
99,-0.25,0.095,0.905,@FoxNews,0.0,100
0,0.3182,0.0,0.881,@nytimes,0.119,1
1,0.0,0.0,1.0,@nytimes,0.0,2
2,0.4019,0.0,0.881,@nytimes,0.119,3
3,0.2617,0.0,0.915,@nytimes,0.085,4
4,0.0,0.0,1.0,@nytimes,0.0,5
5,-0.9081,0.432,0.568,@nytimes,0.0,6
6,0.0,0.0,1.0,@nytimes,0.0,7
7,0.4588,0.0,0.812,@nytimes,0.188,8
8,0.0,0.0,1.0,@nytimes,0.0,9
9,0.0,0.0,1.0,@nytimes,0.0,10
10,-0.3818,0.12,0.88,@nytimes,0.0,11
11,0.7717,0.0,0.712,@nytimes,0.288,12
12,-0.4588,0.158,0.842,@nytimes,0.0,13
13,-0.2023,0.083,0.917,@nytimes,0.0,14
14,0.34,0.0,0.876,@nytimes,0.124,15
15,0.0,0.0,1.0,@nytimes,0.0,16
16,0.0,0.0,1.0,@nytimes,0.0,17
17,-0.5267,0.175,0.825,@nytimes,0.0,18
18,0.0,0.0,1.0,@nytimes,0.0,19
19,-0.8519,0.401,0.484,@nytimes,0.114,20
20,0.3182,0.0,0.881,@nytimes,0.119,21
21,0.0,0.0,1.0,@nytimes,0.0,22
22,0.4019,0.0,0.881,@nytimes,0.119,23
23,0.2617,0.0,0.915,@nytimes,0.085,24
24,0.0,0.0,1.0,@nytimes,0.0,25
25,-0.9081,0.432,0.568,@nytimes,0.0,26
26,0.0,0.0,1.0,@nytimes,0.0,27
27,0.4588,0.0,0.812,@nytimes,0.188,28
28,0.0,0.0,1.0,@nytimes,0.0,29
29,0.0,0.0,1.0,@nytimes,0.0,30
30,-0.3818,0.12,0.88,@nytimes,0.0,31
31,0.7717,0.0,0.712,@nytimes,0.288,32
32,-0.4588,0.158,0.842,@nytimes,0.0,33
33,-0.2023,0.083,0.917,@nytimes,0.0,34
34,0.34,0.0,0.876,@nytimes,0.124,35
35,0.0,0.0,1.0,@nytimes,0.0,36
36,0.0,0.0,1.0,@nytimes,0.0,37
37,-0.5267,0.175,0.825,@nytimes,0.0,38
38,0.0,0.0,1.0,@nytimes,0.0,39
39,-0.8519,0.401,0.484,@nytimes,0.114,40
40,-0.4767,0.134,0.866,@nytimes,0.0,41
41,-0.6249,0.221,0.779,@nytimes,0.0,42
42,-0.5859,0.16,0.84,@nytimes,0.0,43
43,0.0258,0.0,0.942,@nytimes,0.058,44
44,-0.2023,0.131,0.766,@nytimes,0.102,45
45,0.4939,0.0,0.814,@nytimes,0.186,46
46,0.128,0.0,0.923,@nytimes,0.077,47
47,0.0,0.0,1.0,@nytimes,0.0,48
48,-0.4019,0.184,0.816,@nytimes,0.0,49
49,0.5267,0.0,0.812,@nytimes,0.188,50
50,-0.7906,0.267,0.733,@nytimes,0.0,51
51,-0.0772,0.1,0.812,@nytimes,0.089,52
52,0.7003,0.0,0.766,@nytimes,0.234,53
53,-0.296,0.099,0.901,@nytimes,0.0,54
54,-0.7964,0.262,0.738,@nytimes,0.0,55
55,-0.4939,0.144,0.856,@nytimes,0.0,56
56,0.7269,0.0,0.679,@nytimes,0.321,57
57,0.0,0.0,1.0,@nytimes,0.0,58
58,-0.5267,0.246,0.658,@nytimes,0.096,59
59,0.5423,0.06,0.653,@nytimes,0.286,60
60,-0.3182,0.103,0.897,@nytimes,0.0,61
61,0.1531,0.074,0.826,@nytimes,0.099,62
62,0.0,0.0,1.0,@nytimes,0.0,63
63,0.296,0.0,0.814,@nytimes,0.186,64
64,-0.6908,0.241,0.759,@nytimes,0.0,65
65,-0.0757,0.117,0.779,@nytimes,0.104,66
66,-0.5267,0.212,0.707,@nytimes,0.082,67
67,0.0,0.0,1.0,@nytimes,0.0,68
68,-0.1027,0.102,0.772,@nytimes,0.126,69
69,0.2732,0.0,0.896,@nytimes,0.104,70
70,0.0,0.0,1.0,@nytimes,0.0,71
71,-0.2023,0.131,0.766,@nytimes,0.102,72
72,0.0,0.0,1.0,@nytimes,0.0,73
73,0.5267,0.0,0.812,@nytimes,0.188,74
74,-0.5574,0.265,0.735,@nytimes,0.0,75
75,0.5106,0.0,0.645,@nytimes,0.355,76
76,-0.8957,0.435,0.565,@nytimes,0.0,77
77,-0.5574,0.167,0.833,@nytimes,0.0,78
78,0.0,0.0,1.0,@nytimes,0.0,79
79,0.0,0.0,1.0,@nytimes,0.0,80
80,-0.1531,0.179,0.708,@nytimes,0.113,81
81,0.4939,0.0,0.814,@nytimes,0.186,82
82,0.6124,0.086,0.639,@nytimes,0.274,83
83,0.5859,0.0,0.789,@nytimes,0.211,84
84,-0.3818,0.126,0.874,@nytimes,0.0,85
85,0.0,0.0,1.0,@nytimes,0.0,86
86,-0.34,0.098,0.902,@nytimes,0.0,87
87,-0.8225,0.364,0.636,@nytimes,0.0,88
88,0.0,0.0,1.0,@nytimes,0.0,89
89,0.0,0.0,1.0,@nytimes,0.0,90
90,0.5267,0.0,0.793,@nytimes,0.207,91
91,0.0,0.0,1.0,@nytimes,0.0,92
92,0.5423,0.06,0.653,@nytimes,0.286,93
93,0.0,0.0,1.0,@nytimes,0.0,94
94,-0.5267,0.145,0.855,@nytimes,0.0,95
95,-0.7003,0.244,0.756,@nytimes,0.0,96
96,0.296,0.0,0.879,@nytimes,0.121,97
97,0.0,0.0,1.0,@nytimes,0.0,98
98,0.0,0.0,1.0,@nytimes,0.0,99
99,-0.7003,0.216,0.784,@nytimes,0.0,100
